1000
mighty,2,58
dare,19,57
whip,99,78
icy,20,15
rat,63,89
meal,43,59
trade,48,74
warlike,90,22
fancy,49,67
tramp,67,92
walk,54,56
craven,66,5
try,29,60
smelly,63,59
breezy,15,92
market,63,15
cry,55,29
replace,25,24
trap,92,21
inquisitive,36,14
toothbrush,66,91
godly,37,6
robust,93,51
equable,58,98
control,10,55
oatmeal,10,99
amount,77,32
guarantee,27,53
alert,68,64
sudden,69,73
zesty,88,40
stretch,88,5
babies,37,86
subtract,14,59
chess,27,19
vein,1,52
spot,17,83
boundless,83,43
basin,42,69
vagabond,88,62
shivering,48,94
uncovered,21,7
selfish,12,94
foregoing,73,94
private,91,59
pushy,93,43
amused,15,44
soup,13,56
aquatic,54,65
workable,63,29
start,13,43
elderly,38,20
government,5,13
repair,94,50
clap,68,47
comb,90,3
null,95,24
beneficial,55,40
use,84,73
agreeable,43,13
charge,61,32
lamentable,26,70
strong,39,67
crash,48,29
hate,81,63
support,46,38
present,57,50
beds,5,56
shop,91,13
country,4,22
egg,91,70
polish,59,40
laughable,72,23
ambiguous,94,43
misty,35,86
quince,12,69
lopsided,10,67
sparkling,39,91
callous,21,26
tiresome,45,32
sense,61,20
legal,8,91
functional,32,60
aloof,100,32
bouncy,93,19
drop,95,2
TRUE,43,47
psychedelic,84,7
obtainable,83,31
billowy,92,13
itch,80,27
time,15,93
expensive,86,79
old,22,87
stick,96,97
slave,6,59
vessel,95,55
snow,15,70
powder,7,32
shaggy,70,31
class,88,3
fragile,61,86
receipt,58,35
bat,4,67
fairies,98,41
spare,3,25
slimy,85,19
various,58,74
ground,36,22
recognise,5,75
tame,41,14
nut,73,94
yam,60,30
sharp,83,18
horrible,12,27
heat,73,96
calculating,77,1
bells,99,28
smart,47,39
wing,31,4
whirl,70,21
ill-informed,27,94
mushy,97,17
skate,8,96
doll,75,58
rapid,94,31
jumbled,69,33
scribble,89,99
slip,86,99
airplane,7,86
prickly,39,89
zonked,24,63
envious,13,79
behavior,11,12
hammer,23,72
parsimonious,50,19
robin,93,71
return,70,67
noise,53,81
domineering,65,52
picture,41,7
wail,78,75
muscle,77,15
bustling,67,8
gold,8,25
absorbing,55,3
poison,46,1
ship,21,95
unhealthy,54,77
grubby,1,65
entertain,19,79
science,62,54
hesitant,39,24
honorable,3,96
mice,65,95
bright,24,76
develop,43,90
share,60,46
uptight,25,21
reminiscent,91,95
purring,2,39
flag,40,93
improve,30,17
scream,52,38
recondite,66,47
chief,77,6
gray,18,93
arrange,79,72
scientific,90,53
far,46,9
ignorant,44,10
cycle,15,1
toe,42,98
fanatical,69,80
stereotyped,63,29
alive,62,32
staking,100,12
standing,39,52
plane,49,83
borrow,93,55
march,17,94
tall,32,70
frighten,15,83
brown,90,62
name,48,92
mark,55,69
power,63,14
ultra,1,1
dog,1,25
boil,56,39
art,26,20
precede,100,2
coal,84,98
marvelous,78,50
whole,98,24
calculate,30,56
suggestion,55,33
smoggy,28,35
roasted,44,68
wash,50,44
first,100,15
arrive,60,87
remarkable,14,16
destroy,56,49
death,24,71
outgoing,21,86
pedal,81,27
like,13,13
remove,32,56
interfere,82,78
kindhearted,49,39
watch,89,20
thinkable,93,3
mitten,15,65
fertile,46,20
rabid,30,73
nose,42,82
cake,91,43
colour,91,33
desk,5,18
rice,41,81
pleasure,54,61
jumpy,2,60
horse,35,95
force,55,22
jazzy,42,15
profuse,20,6
yummy,92,93
glue,65,47
economic,21,82
suck,73,100
tense,70,29
tremendous,64,97
discovery,76,3
sleep,63,69
underwear,43,77
brash,63,44
strap,67,3
cool,60,41
pack,29,59
shut,23,61
advise,89,54
quarter,63,67
stretch,32,61
gainful,65,83
nauseating,93,99
animated,41,41
dress,73,36
spotless,65,90
safe,83,18
tremble,15,33
pause,19,35
heap,15,57
overconfident,27,30
short,31,64
halting,13,63
chicken,25,62
soak,69,24
cream,14,23
enthusiastic,26,81
desert,44,23
salty,97,6
forgetful,23,52
befitting,77,39
effect,91,96
bushes,85,44
amazing,36,66
lucky,77,82
stale,34,92
drum,60,86
snakes,42,80
glamorous,72,7
two,47,83
terrible,76,23
drown,19,46
fallacious,93,90
dust,16,77
stitch,95,55
letters,9,41
bored,7,31
romantic,16,7
rotten,67,55
gullible,7,97
save,64,72
cooperative,9,79
blot,78,12
remind,26,95
hissing,10,14
interrupt,68,93
treatment,27,4
gleaming,32,20
hypnotic,77,25
poor,31,14
caring,35,33
painstaking,66,60
compare,6,76
protest,73,66
uncle,56,73
bell,44,51
porter,49,57
quiet,31,87
perfect,87,41
one,24,1
stem,63,40
brave,2,33
thankful,71,65
testy,37,36
dam,34,58
gifted,21,48
nostalgic,50,77
annoy,26,22
military,15,40
lowly,55,53
clear,93,54
pump,100,82
trouble,57,81
leg,34,71
glossy,79,67
decide,77,45
steer,68,71
strange,40,57
voracious,8,64
buzz,17,80
feigned,47,58
look,50,54
silk,25,9
quartz,73,83
smash,61,30
yell,62,100
resolute,10,50
cap,58,35
vengeful,62,51
juice,19,97
spell,15,35
nimble,13,26
cut,6,81
general,18,36
twist,33,23
barbarous,92,90
sour,14,79
jam,80,83
flagrant,68,33
flower,47,96
long,18,88
rain,81,17
color,49,95
summer,15,64
hot,31,32
watch,43,15
helpless,37,38
grumpy,82,23
past,54,8
celery,58,92
kick,74,82
jump,54,56
hug,98,59
mass,9,68
mess up,58,97
fat,1,19
flower,69,43
fit,23,71
same,24,12
bolt,69,49
smooth,39,28
society,23,12
bear,5,12
responsible,77,19
mask,21,69
cracker,58,36
magenta,25,30
level,99,1
jeans,85,38
disappear,93,8
certain,18,3
prepare,90,4
icky,42,77
amuck,90,43
smile,87,22
ordinary,43,70
lettuce,92,64
irritating,48,13
rail,98,98
hope,36,18
arch,6,50
kaput,77,30
rare,82,98
van,76,22
seed,55,16
righteous,38,99
utopian,83,2
mouth,12,2
upset,80,78
float,3,20
flow,9,54
development,15,93
disagree,38,5
visitor,63,45
station,38,26
surprise,32,20
rule,6,18
overrated,6,70
bite-sized,5,60
willing,60,5
expansion,52,42
branch,7,57
laugh,71,28
daughter,33,87
grate,24,1
malicious,15,15
sign,97,46
apologise,88,88
cast,71,61
arrogant,55,94
plant,6,94
puffy,26,98
embarrass,38,34
yawn,8,23
tangible,61,70
breath,82,80
puzzling,29,12
launch,2,20
wistful,9,49
flawless,34,50
wealthy,90,78
snobbish,89,39
ray,44,76
spotted,28,9
blink,56,65
conscious,48,97
second-hand,94,63
haircut,33,88
finger,50,90
mend,3,33
possessive,59,75
free,27,8
happy,11,9
double,80,64
trick,83,77
gigantic,62,55
range,8,44
cross,22,56
earsplitting,52,93
crooked,56,99
faithful,30,13
bird,82,85
cute,70,55
rifle,71,50
handy,25,81
talk,49,11
stain,16,17
chemical,17,33
abashed,33,29
seat,70,93
offbeat,4,86
low,2,75
erect,94,47
bomb,80,97
trip,53,39
loose,16,12
seal,28,76
cub,97,2
tray,60,87
tiger,20,54
books,97,100
insidious,7,31
rough,49,60
confused,18,57
capable,58,15
brass,45,92
cobweb,14,67
mixed,77,97
wreck,49,77
complex,12,23
educate,93,76
overjoyed,17,4
undress,41,8
exotic,43,13
ink,67,9
company,97,80
letter,25,6
versed,50,59
shock,2,94
bizarre,72,6
lean,84,13
fang,52,85
space,22,61
dad,43,99
field,71,83
exclusive,58,24
shocking,45,84
wander,11,90
frightened,89,51
sock,57,31
post,68,80
